,Experiment,Well,Reporter,Copies,lg10_Copies,Target,FPrimer,RPrimer,PrimerPair,BP,GC,Metric,Parameter,Value,EvaGreen,PrimerPairReporter,PrimerPairReporterBPGC
4456,JG067G,23,FAM,100000000.0,8.0,S067_76f36b_a_Avg_0,FP001,RP001x,FP001-RP001x,102,0.39215686274509803,mean,r,0.8291696588574003,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-102-0.39215686274509803
4458,JG067G,24,HEX,100000000.0,8.0,S067_76f36b_b_Avg_0,RP001x,FP002,RP001x-FP002,166,0.5783132530120482,mean,r,0.5300911879962615,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-166-0.5783132530120482
4460,JG067G,193,EVAGREEN,100000000.0,8.0,S067_8a718d_α_LVM_0,FP001,RP001x,FP001-RP001x,98,0.23469387755102042,mean,r,0.9332071950313873,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-98-0.23469387755102042
4462,JG067G,194,EVAGREEN,100000000.0,8.0,S067_8a718d_β_LVM_0,FP002,RP002x,FP002-RP002x,41,0.4634146341463415,mean,r,0.7518059144816814,EvaGreen,FP002-RP002x-EvaGreen,FP002-RP002x-EvaGreen-41-0.4634146341463415
4464,JG067G,195,HEX,100000000.0,8.0,S067_8a718d_a_LVM_0,FP005,FP001,FP005-FP001,56,0.48214285714285715,mean,r,0.8006789696090194,Probe,FP005-FP001-Probe,FP005-FP001-Probe-56-0.48214285714285715
4466,JG067G,196,FAM,100000000.0,8.0,S067_8a718d_b_LVM_0,RP001x,FP002,RP001x-FP002,70,0.4142857142857143,mean,r,0.8585870676991276,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-70-0.4142857142857143
4468,JG067G,197,HEX,100000000.0,8.0,S067_8a718d_c_LVM_0,RP002x,FP005,RP002x-FP005,59,0.3389830508474576,mean,r,0.7328453073012375,Probe,RP002x-FP005-Probe,RP002x-FP005-Probe-59-0.3389830508474576
4470,JG067G,198,EVAGREEN,100000000.0,8.0,S067_8a718d_d_LVM_0,FP005,FP004,FP005-FP004,43,0.6511627906976745,mean,r,0.5982242579023819,EvaGreen,FP005-FP004-EvaGreen,FP005-FP004-EvaGreen-43-0.6511627906976745
4472,JG067G,199,FAM,100000000.0,8.0,S067_8a718d_e_LVM_0,FP004,RP004,FP004-RP004,175,0.2571428571428571,mean,r,0.7907046044913689,Probe,FP004-RP004-Probe,FP004-RP004-Probe-175-0.2571428571428571
4474,JG067G,200,EVAGREEN,100000000.0,8.0,S067_b12a22_α_LVM_0,FP001,RP001x,FP001-RP001x,87,0.2413793103448276,mean,r,0.7739145582148913,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-87-0.2413793103448276
4476,JG067G,202,EVAGREEN,100000000.0,8.0,S067_b12a22_a_LVM_0,FP001,RP004,FP001-RP004,58,0.22413793103448276,mean,r,0.9570213894738118,EvaGreen,FP001-RP004-EvaGreen,FP001-RP004-EvaGreen-58-0.22413793103448276
4478,JG067G,203,EVAGREEN,100000000.0,8.0,S067_b12a22_b_LVM_0,FP002,RP004,FP002-RP004,45,0.2222222222222222,mean,r,0.9163883979533933,EvaGreen,FP002-RP004-EvaGreen,FP002-RP004-EvaGreen-45-0.2222222222222222
4480,JG067G,204,FAM,100000000.0,8.0,S067_b12a22_c_LVM_0,FP004,RP004,FP004-RP004,278,0.3597122302158273,mean,r,0.6867222521371149,Probe,FP004-RP004-Probe,FP004-RP004-Probe-278-0.3597122302158273
4482,JG067G,205,HEX,100000000.0,8.0,S067_b12a22_d_LVM_0,FP004,FP005,FP004-FP005,354,0.3474576271186441,mean,r,0.5978647888888567,Probe,FP004-FP005-Probe,FP004-FP005-Probe-354-0.3474576271186441
4484,JG067G,206,EVAGREEN,100000000.0,8.0,S067_0d89c8_α_LVM_0,FP001,RP001x,FP001-RP001x,98,0.23469387755102042,mean,r,0.9070820596188396,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-98-0.23469387755102042
4486,JG067G,207,EVAGREEN,100000000.0,8.0,S067_0d89c8_β_LVM_0,FP002,RP002x,FP002-RP002x,41,0.4634146341463415,mean,r,0.8150623030190365,EvaGreen,FP002-RP002x-EvaGreen,FP002-RP002x-EvaGreen-41-0.4634146341463415
4488,JG067G,208,HEX,100000000.0,8.0,S067_0d89c8_a_LVM_0,RP008x,FP005,RP008x-FP005,59,0.4915254237288136,mean,r,0.6576096348505599,Probe,RP008x-FP005-Probe,RP008x-FP005-Probe-59-0.4915254237288136
4490,JG067G,209,EVAGREEN,100000000.0,8.0,S067_0d89c8_b_LVM_0,FP005,FP001,FP005-FP001,45,0.2222222222222222,mean,r,0.90397168481548,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-45-0.2222222222222222
4492,JG067G,210,FAM,100000000.0,8.0,S067_0d89c8_c_LVM_0,RP001x,FP002,RP001x-FP002,375,0.3466666666666667,mean,r,0.7073064638809254,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-375-0.3466666666666667
4494,JG067G,211,EVAGREEN,100000000.0,8.0,S067_0d89c8_d_LVM_0,RP002x,FP004,RP002x-FP004,43,0.23255813953488372,mean,r,0.9884664796686702,EvaGreen,RP002x-FP004-EvaGreen,RP002x-FP004-EvaGreen-43-0.23255813953488372
4496,JG067G,212,HEX,100000000.0,8.0,S067_0d89c8_e_LVM_0,FP004,RP004,FP004-RP004,162,0.25925925925925924,mean,r,0.7670457040485337,Probe,FP004-RP004-Probe,FP004-RP004-Probe-162-0.25925925925925924
4498,JG067G,213,EVAGREEN,100000000.0,8.0,S067_76f36b_α_LVM_0,RP008x,FP001,RP008x-FP001,80,0.25,mean,r,0.7780926321065095,EvaGreen,RP008x-FP001-EvaGreen,RP008x-FP001-EvaGreen-80-0.25
4500,JG067G,214,EVAGREEN,100000000.0,8.0,S067_76f36b_β_LVM_0,FP005,FP001,FP005-FP001,51,0.21568627450980393,mean,r,0.9250322415121649,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-51-0.21568627450980393
4502,JG067G,215,FAM,100000000.0,8.0,S067_76f36b_a_LVM_0,FP001,RP001x,FP001-RP001x,56,0.39285714285714285,mean,r,0.9338761196344131,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-56-0.39285714285714285
4504,JG067G,216,HEX,100000000.0,8.0,S067_76f36b_b_LVM_0,RP001x,FP002,RP001x-FP002,335,0.3522388059701492,mean,r,0.7443330094023751,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-335-0.3522388059701492
4506,JG067H,8,EVAGREEN,100000000.0,8.0,S067_76f36b_β_Avg_1,FP005,FP001,FP005-FP001,53,0.2830188679245283,mean,r,0.8754756478254223,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-53-0.2830188679245283
4508,JG067H,9,EVAGREEN,100000000.0,8.0,S067_0d89c8_b_Avg_1,FP005,FP001,FP005-FP001,51,0.27450980392156865,mean,r,0.8188475570007034,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-51-0.27450980392156865
4510,JG067H,10,EVAGREEN,100000000.0,8.0,S067_8a718d_d_Avg_1,FP005,FP004,FP005-FP004,41,0.4878048780487805,mean,r,0.7127123131689239,EvaGreen,FP005-FP004-EvaGreen,FP005-FP004-EvaGreen-41-0.4878048780487805
4512,JG067H,13,EVAGREEN,100000000.0,8.0,S067_76f36b_α_Avg_1,RP008x,FP001,RP008x-FP001,53,0.2830188679245283,mean,r,0.7247140918133234,EvaGreen,RP008x-FP001-EvaGreen,RP008x-FP001-EvaGreen-53-0.2830188679245283
4514,JG067H,14,FAM,100000000.0,8.0,S067_76f36b_a_Avg_1,FP001,RP001x,FP001-RP001x,66,0.4696969696969697,mean,r,0.8696159851744438,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-66-0.4696969696969697
4516,JG067H,15,HEX,100000000.0,8.0,S067_b12a22_d_Avg_1,FP004,FP005,FP004-FP005,185,0.5405405405405406,mean,r,0.4880359183015053,Probe,FP004-FP005-Probe,FP004-FP005-Probe-185-0.5405405405405406
4518,JG067H,16,FAM,100000000.0,8.0,S067_b12a22_c_Avg_1,FP004,RP004,FP004-RP004,48,0.4583333333333333,mean,r,0.8043287823866851,Probe,FP004-RP004-Probe,FP004-RP004-Probe-48-0.4583333333333333
4520,JG067H,17,FAM,100000000.0,8.0,S067_8a718d_e_Avg_1,FP004,RP004,FP004-RP004,89,0.42696629213483145,mean,r,0.7898286859519968,Probe,FP004-RP004-Probe,FP004-RP004-Probe-89-0.42696629213483145
4522,JG067H,18,HEX,100000000.0,8.0,S067_0d89c8_e_Avg_1,FP004,RP004,FP004-RP004,78,0.32051282051282054,mean,r,0.8965335623917413,Probe,FP004-RP004-Probe,FP004-RP004-Probe-78-0.32051282051282054
4524,JG067H,19,HEX,100000000.0,8.0,S067_8a718d_a_Avg_1,FP005,FP001,FP005-FP001,87,0.27586206896551724,mean,r,0.923071973916371,Probe,FP005-FP001-Probe,FP005-FP001-Probe-87-0.27586206896551724
4526,JG067H,20,FAM,100000000.0,8.0,S067_0d89c8_c_Avg_1,RP001x,FP002,RP001x-FP002,194,0.5412371134020618,mean,r,0.566568671317549,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-194-0.5412371134020618
4528,JG067H,21,HEX,100000000.0,8.0,S067_76f36b_b_Avg_1,RP001x,FP002,RP001x-FP002,171,0.543859649122807,mean,r,0.5276038387918427,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-171-0.543859649122807
4530,JG067H,22,FAM,100000000.0,8.0,S067_8a718d_b_Avg_1,RP001x,FP002,RP001x-FP002,71,0.4647887323943662,mean,r,0.8581815413511941,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-71-0.4647887323943662
4532,JG067H,23,HEX,100000000.0,8.0,S067_8a718d_c_Avg_1,RP002x,FP005,RP002x-FP005,87,0.27586206896551724,mean,r,0.7352444137425623,Probe,RP002x-FP005-Probe,RP002x-FP005-Probe-87-0.27586206896551724
4534,JG067H,24,HEX,100000000.0,8.0,S067_0d89c8_a_Avg_1,RP008x,FP005,RP008x-FP005,78,0.32051282051282054,mean,r,0.7248475833015251,Probe,RP008x-FP005-Probe,RP008x-FP005-Probe-78-0.32051282051282054
4536,JG067H,193,EVAGREEN,100000000.0,8.0,S067_8a718d_α_LVM_1,FP001,RP001x,FP001-RP001x,182,0.21978021978021978,mean,r,0.8010290775352779,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-182-0.21978021978021978
4538,JG067H,194,EVAGREEN,100000000.0,8.0,S067_0d89c8_α_LVM_1,FP001,RP001x,FP001-RP001x,182,0.21978021978021978,mean,r,0.743272190947933,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-182-0.21978021978021978
4540,JG067H,195,EVAGREEN,100000000.0,8.0,S067_b12a22_α_LVM_1,FP001,RP001x,FP001-RP001x,190,0.22105263157894736,mean,r,0.8164006150692252,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-190-0.22105263157894736
4542,JG067H,196,FAM,100000000.0,8.0,S067_76f36b_a_LVM_1,FP001,RP001x,FP001-RP001x,78,0.3333333333333333,mean,r,0.9123097683200692,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-78-0.3333333333333333
4544,JG067H,197,EVAGREEN,100000000.0,8.0,S067_b12a22_a_LVM_1,FP001,RP004,FP001-RP004,22,0.22727272727272727,mean,r,1.1648219113828602,EvaGreen,FP001-RP004-EvaGreen,FP001-RP004-EvaGreen-22-0.22727272727272727
4546,JG067H,198,EVAGREEN,100000000.0,8.0,S067_8a718d_β_LVM_1,FP002,RP002x,FP002-RP002x,24,0.4166666666666667,mean,r,0.8477484950705158,EvaGreen,FP002-RP002x-EvaGreen,FP002-RP002x-EvaGreen-24-0.4166666666666667
4548,JG067H,201,HEX,100000000.0,8.0,S067_b12a22_d_LVM_1,FP004,FP005,FP004-FP005,427,0.3185011709601874,mean,r,0.5526377702409101,Probe,FP004-FP005-Probe,FP004-FP005-Probe-427-0.3185011709601874
4550,JG067H,202,FAM,100000000.0,8.0,S067_b12a22_c_LVM_1,FP004,RP004,FP004-RP004,256,0.33984375,mean,r,0.697281068905665,Probe,FP004-RP004-Probe,FP004-RP004-Probe-256-0.33984375
4552,JG067H,203,FAM,100000000.0,8.0,S067_8a718d_e_LVM_1,FP004,RP004,FP004-RP004,157,0.25477707006369427,mean,r,0.766261985556634,Probe,FP004-RP004-Probe,FP004-RP004-Probe-157-0.25477707006369427
4554,JG067H,204,HEX,100000000.0,8.0,S067_0d89c8_e_LVM_1,FP004,RP004,FP004-RP004,68,0.5441176470588235,mean,r,0.7264129401679683,Probe,FP004-RP004-Probe,FP004-RP004-Probe-68-0.5441176470588235
4556,JG067H,207,HEX,100000000.0,8.0,S067_8a718d_a_LVM_1,FP005,FP001,FP005-FP001,89,0.3595505617977528,mean,r,0.8182846318421084,Probe,FP005-FP001-Probe,FP005-FP001-Probe-89-0.3595505617977528
4558,JG067H,208,EVAGREEN,100000000.0,8.0,S067_8a718d_d_LVM_1,FP005,FP004,FP005-FP004,91,0.3956043956043956,mean,r,0.7026902783108435,EvaGreen,FP005-FP004-EvaGreen,FP005-FP004-EvaGreen-91-0.3956043956043956
4560,JG067H,209,FAM,100000000.0,8.0,S067_0d89c8_c_LVM_1,RP001x,FP002,RP001x-FP002,575,0.3443478260869565,mean,r,0.5849229610330031,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-575-0.3443478260869565
4562,JG067H,210,HEX,100000000.0,8.0,S067_76f36b_b_LVM_1,RP001x,FP002,RP001x-FP002,575,0.3339130434782609,mean,r,0.6531681298449605,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-575-0.3339130434782609
4564,JG067H,211,FAM,100000000.0,8.0,S067_8a718d_b_LVM_1,RP001x,FP002,RP001x-FP002,86,0.3953488372093023,mean,r,0.8679032519982636,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-86-0.3953488372093023
4566,JG067H,214,HEX,100000000.0,8.0,S067_8a718d_c_LVM_1,RP002x,FP005,RP002x-FP005,309,0.22330097087378642,mean,r,0.5737888400590645,Probe,RP002x-FP005-Probe,RP002x-FP005-Probe-309-0.22330097087378642
4568,JG067H,215,EVAGREEN,100000000.0,8.0,S067_76f36b_α_LVM_1,RP008x,FP001,RP008x-FP001,15,0.2,mean,r,0.9117551638275966,EvaGreen,RP008x-FP001-EvaGreen,RP008x-FP001-EvaGreen-15-0.2
4570,JG067H,216,HEX,100000000.0,8.0,S067_0d89c8_a_LVM_1,RP008x,FP005,RP008x-FP005,293,0.22184300341296928,mean,r,0.5730798747432769,Probe,RP008x-FP005-Probe,RP008x-FP005-Probe-293-0.22184300341296928
4572,JG067L,1,HEX,100000000.0,8.0,S067_0d89c8_a_Avg_2,RP008x,FP005,RP008x-FP005,66,0.36363636363636365,mean,r,0.7970810240462706,Probe,RP008x-FP005-Probe,RP008x-FP005-Probe-66-0.36363636363636365
4574,JG067L,2,EVAGREEN,100000000.0,8.0,S067_0d89c8_b_Avg_2,FP005,FP001,FP005-FP001,60,0.23333333333333334,mean,r,0.9034494534388774,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-60-0.23333333333333334
4576,JG067L,4,EVAGREEN,100000000.0,8.0,S067_0d89c8_d_Avg_2,RP002x,FP004,RP002x-FP004,58,0.2413793103448276,mean,r,0.8882829885406942,EvaGreen,RP002x-FP004-EvaGreen,RP002x-FP004-EvaGreen-58-0.2413793103448276
4578,JG067L,5,HEX,100000000.0,8.0,S067_0d89c8_e_Avg_2,FP004,RP004,FP004-RP004,66,0.36363636363636365,mean,r,0.9137587565024223,Probe,FP004-RP004-Probe,FP004-RP004-Probe-66-0.36363636363636365
4580,JG067L,6,EVAGREEN,100000000.0,8.0,S067_0d89c8_α_Avg_2,FP001,RP001x,FP001-RP001x,47,0.5106382978723404,mean,r,0.7357897120600603,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-47-0.5106382978723404
4582,JG067L,7,EVAGREEN,100000000.0,8.0,S067_0d89c8_β_Avg_2,FP002,RP002x,FP002-RP002x,47,0.5319148936170213,mean,r,0.7442424914932338,EvaGreen,FP002-RP002x-EvaGreen,FP002-RP002x-EvaGreen-47-0.5319148936170213
4584,JG067L,8,FAM,100000000.0,8.0,S067_76f36b_a_Avg_2,FP001,RP001x,FP001-RP001x,53,0.24528301886792453,mean,r,0.9297295092615133,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-53-0.24528301886792453
4586,JG067L,10,EVAGREEN,100000000.0,8.0,S067_76f36b_α_Avg_2,RP008x,FP001,RP008x-FP001,47,0.5319148936170213,mean,r,0.6377788989725987,EvaGreen,RP008x-FP001-EvaGreen,RP008x-FP001-EvaGreen-47-0.5319148936170213
4588,JG067L,11,EVAGREEN,100000000.0,8.0,S067_76f36b_β_Avg_2,FP005,FP001,FP005-FP001,47,0.5106382978723404,mean,r,0.676378933672428,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-47-0.5106382978723404
4590,JG067L,12,HEX,100000000.0,8.0,S067_8a718d_a_Avg_2,FP005,FP001,FP005-FP001,82,0.3048780487804878,mean,r,0.9843429425112671,Probe,FP005-FP001-Probe,FP005-FP001-Probe-82-0.3048780487804878
4592,JG067L,13,FAM,100000000.0,8.0,S067_8a718d_b_Avg_2,RP001x,FP002,RP001x-FP002,70,0.38571428571428573,mean,r,0.9202972777791598,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-70-0.38571428571428573
4594,JG067L,14,HEX,100000000.0,8.0,S067_8a718d_c_Avg_2,RP002x,FP005,RP002x-FP005,82,0.3048780487804878,mean,r,0.8300642593605966,Probe,RP002x-FP005-Probe,RP002x-FP005-Probe-82-0.3048780487804878
4596,JG067L,15,EVAGREEN,100000000.0,8.0,S067_8a718d_d_Avg_2,FP005,FP004,FP005-FP004,47,0.6595744680851063,mean,r,0.5529550698386658,EvaGreen,FP005-FP004-EvaGreen,FP005-FP004-EvaGreen-47-0.6595744680851063
4598,JG067L,16,FAM,100000000.0,8.0,S067_8a718d_e_Avg_2,FP004,RP004,FP004-RP004,97,0.44329896907216493,mean,r,0.8079394220746883,Probe,FP004-RP004-Probe,FP004-RP004-Probe-97-0.44329896907216493
4600,JG067L,17,EVAGREEN,100000000.0,8.0,S067_8a718d_α_Avg_2,FP001,RP001x,FP001-RP001x,47,0.5106382978723404,mean,r,0.7319873910665396,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-47-0.5106382978723404
4602,JG067L,19,EVAGREEN,100000000.0,8.0,S067_b12a22_a_Avg_2,FP001,RP004,FP001-RP004,53,0.22641509433962265,mean,r,1.1097815013617565,EvaGreen,FP001-RP004-EvaGreen,FP001-RP004-EvaGreen-53-0.22641509433962265
4604,JG067L,21,FAM,100000000.0,8.0,S067_b12a22_c_Avg_2,FP004,RP004,FP004-RP004,171,0.49707602339181284,mean,r,0.6480571417101778,Probe,FP004-RP004-Probe,FP004-RP004-Probe-171-0.49707602339181284
4606,JG067L,22,HEX,100000000.0,8.0,S067_b12a22_d_Avg_2,FP004,FP005,FP004-FP005,230,0.6347826086956522,mean,r,0.44991178583618346,Probe,FP004-FP005-Probe,FP004-FP005-Probe-230-0.6347826086956522
4608,JG067L,23,EVAGREEN,100000000.0,8.0,S067_b12a22_α_Avg_2,FP001,RP001x,FP001-RP001x,60,0.25,mean,r,1.0185741011725449,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-60-0.25
4610,JG067L,24,EVAGREEN,100000000.0,8.0,S067_b12a22_β_Avg_2,RP002x,FP002,RP002x-FP002,60,0.25,mean,r,0.9521933757386909,EvaGreen,RP002x-FP002-EvaGreen,RP002x-FP002-EvaGreen-60-0.25
4612,JG067L,193,HEX,100000000.0,8.0,S067_0d89c8_a_LVM_2,RP008x,FP005,RP008x-FP005,127,0.3464566929133858,mean,r,0.718285540471433,Probe,RP008x-FP005-Probe,RP008x-FP005-Probe-127-0.3464566929133858
4614,JG067L,194,EVAGREEN,100000000.0,8.0,S067_0d89c8_b_LVM_2,FP005,FP001,FP005-FP001,28,0.39285714285714285,mean,r,0.8796320997043302,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-28-0.39285714285714285
4616,JG067L,195,FAM,100000000.0,8.0,S067_0d89c8_c_LVM_2,RP001x,FP002,RP001x-FP002,70,0.37142857142857144,mean,r,0.9186943585346206,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-70-0.37142857142857144
4618,JG067L,196,EVAGREEN,100000000.0,8.0,S067_0d89c8_d_LVM_2,RP002x,FP004,RP002x-FP004,28,0.42857142857142855,mean,r,0.8521692874400019,EvaGreen,RP002x-FP004-EvaGreen,RP002x-FP004-EvaGreen-28-0.42857142857142855
4620,JG067L,197,HEX,100000000.0,8.0,S067_0d89c8_e_LVM_2,FP004,RP004,FP004-RP004,127,0.3543307086614173,mean,r,0.8266774865381572,Probe,FP004-RP004-Probe,FP004-RP004-Probe-127-0.3543307086614173
4622,JG067L,198,EVAGREEN,100000000.0,8.0,S067_0d89c8_α_LVM_2,FP001,RP001x,FP001-RP001x,198,0.2222222222222222,mean,r,0.8514395418494497,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-198-0.2222222222222222
4624,JG067L,200,FAM,100000000.0,8.0,S067_76f36b_a_LVM_2,FP001,RP001x,FP001-RP001x,117,0.3333333333333333,mean,r,0.8630985583707418,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-117-0.3333333333333333
4626,JG067L,201,HEX,100000000.0,8.0,S067_76f36b_b_LVM_2,RP001x,FP002,RP001x-FP002,42,0.30952380952380953,mean,r,0.9327239777132336,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-42-0.30952380952380953
4628,JG067L,202,EVAGREEN,100000000.0,8.0,S067_76f36b_α_LVM_2,RP008x,FP001,RP008x-FP001,20,0.5,mean,r,0.8156365835720132,EvaGreen,RP008x-FP001-EvaGreen,RP008x-FP001-EvaGreen-20-0.5
4630,JG067L,203,EVAGREEN,100000000.0,8.0,S067_76f36b_β_LVM_2,FP005,FP001,FP005-FP001,32,0.375,mean,r,0.8351346638009854,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-32-0.375
4632,JG067L,204,HEX,100000000.0,8.0,S067_8a718d_a_LVM_2,FP005,FP001,FP005-FP001,138,0.34782608695652173,mean,r,0.851188963912553,Probe,FP005-FP001-Probe,FP005-FP001-Probe-138-0.34782608695652173
4634,JG067L,205,FAM,100000000.0,8.0,S067_8a718d_b_LVM_2,RP001x,FP002,RP001x-FP002,127,0.3858267716535433,mean,r,0.8763993318018567,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-127-0.3858267716535433
4636,JG067L,206,HEX,100000000.0,8.0,S067_8a718d_c_LVM_2,RP002x,FP005,RP002x-FP005,120,0.3416666666666667,mean,r,0.7313658954498371,Probe,RP002x-FP005-Probe,RP002x-FP005-Probe-120-0.3416666666666667
4638,JG067L,207,EVAGREEN,100000000.0,8.0,S067_8a718d_d_LVM_2,FP005,FP004,FP005-FP004,182,0.42857142857142855,mean,r,0.5998034710680256,EvaGreen,FP005-FP004-EvaGreen,FP005-FP004-EvaGreen-182-0.42857142857142855
4640,JG067L,208,FAM,100000000.0,8.0,S067_8a718d_e_LVM_2,FP004,RP004,FP004-RP004,149,0.3422818791946309,mean,r,0.8098696971438667,Probe,FP004-RP004-Probe,FP004-RP004-Probe-149-0.3422818791946309
4642,JG067L,209,EVAGREEN,100000000.0,8.0,S067_8a718d_α_LVM_2,FP001,RP001x,FP001-RP001x,199,0.22613065326633167,mean,r,0.8158719285168399,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-199-0.22613065326633167
4644,JG067L,211,EVAGREEN,100000000.0,8.0,S067_b12a22_a_LVM_2,FP001,RP004,FP001-RP004,28,0.39285714285714285,mean,r,1.0417904084344742,EvaGreen,FP001-RP004-EvaGreen,FP001-RP004-EvaGreen-28-0.39285714285714285
4646,JG067L,213,FAM,100000000.0,8.0,S067_b12a22_c_LVM_2,FP004,RP004,FP004-RP004,256,0.328125,mean,r,0.7534124138111105,Probe,FP004-RP004-Probe,FP004-RP004-Probe-256-0.328125
4648,JG067L,214,HEX,100000000.0,8.0,S067_b12a22_d_LVM_2,FP004,FP005,FP004-FP005,49,0.2653061224489796,mean,r,0.8478460175444636,Probe,FP004-FP005-Probe,FP004-FP005-Probe-49-0.2653061224489796
4650,JG067L,215,EVAGREEN,100000000.0,8.0,S067_b12a22_α_LVM_2,FP001,RP001x,FP001-RP001x,206,0.22330097087378642,mean,r,0.8533299374465662,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-206-0.22330097087378642
4652,JG067M,1,HEX,100000000.0,8.0,S067_0d89c8_a_Avg_3,RP008x,FP005,RP008x-FP005,59,0.4745762711864407,mean,r,0.6959359792446305,Probe,RP008x-FP005-Probe,RP008x-FP005-Probe-59-0.4745762711864407
4654,JG067M,2,EVAGREEN,100000000.0,8.0,S067_0d89c8_b_Avg_3,FP005,FP001,FP005-FP001,65,0.24615384615384617,mean,r,0.9201184854746038,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-65-0.24615384615384617
4656,JG067M,3,FAM,100000000.0,8.0,S067_0d89c8_c_Avg_3,RP001x,FP002,RP001x-FP002,235,0.5957446808510638,mean,r,0.638065621679031,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-235-0.5957446808510638
4658,JG067M,4,EVAGREEN,100000000.0,8.0,S067_0d89c8_d_Avg_3,RP002x,FP004,RP002x-FP004,65,0.24615384615384617,mean,r,0.7614706503419431,EvaGreen,RP002x-FP004-EvaGreen,RP002x-FP004-EvaGreen-65-0.24615384615384617
4660,JG067M,5,HEX,100000000.0,8.0,S067_0d89c8_e_Avg_3,FP004,RP004,FP004-RP004,59,0.4915254237288136,mean,r,0.8150921535212886,Probe,FP004-RP004-Probe,FP004-RP004-Probe-59-0.4915254237288136
4662,JG067M,6,EVAGREEN,100000000.0,8.0,S067_0d89c8_α_Avg_3,FP001,RP001x,FP001-RP001x,74,0.25675675675675674,mean,r,1.007150003484125,EvaGreen,FP001-RP001x-EvaGreen,FP001-RP001x-EvaGreen-74-0.25675675675675674
4664,JG067M,8,FAM,100000000.0,8.0,S067_76f36b_a_Avg_3,FP001,RP001x,FP001-RP001x,58,0.2413793103448276,mean,r,0.9681022838864355,Probe,FP001-RP001x-Probe,FP001-RP001x-Probe-58-0.2413793103448276
4666,JG067M,9,HEX,100000000.0,8.0,S067_76f36b_b_Avg_3,RP001x,FP002,RP001x-FP002,166,0.5903614457831325,mean,r,0.5387821234602931,Probe,RP001x-FP002-Probe,RP001x-FP002-Probe-166-0.5903614457831325
4668,JG067M,10,EVAGREEN,100000000.0,8.0,S067_76f36b_α_Avg_3,RP008x,FP001,RP008x-FP001,71,0.2535211267605634,mean,r,0.7887648551941226,EvaGreen,RP008x-FP001-EvaGreen,RP008x-FP001-EvaGreen-71-0.2535211267605634
4670,JG067M,11,EVAGREEN,100000000.0,8.0,S067_76f36b_β_Avg_3,FP005,FP001,FP005-FP001,71,0.2535211267605634,mean,r,0.9003767309567274,EvaGreen,FP005-FP001-EvaGreen,FP005-FP001-EvaGreen-71-0.2535211267605634
4672,JG067M,12,HEX,100000000.0,8.0,S067_8a718d_a_Avg_3,FP005,FP001,FP005-FP001,82,0.2926829268292683,mean,r,0.9714160356517936,Probe,FP005-FP001-Probe,FP005-FP001-Probe-82-0.2926829268292683
